387,801,11,22
101,301,19,14
472,755,11,16
518,720,23,17
481,939,29,20
665,299,23,18
866,652,28,19
77,274,26,21
621,302,20,22
936,278,13,27
479,722,10,13
220,540,18,12
68,980,11,19
917,178,14,21
215,698,24,20
403,29,15,13
591,279,28,19
362,292,17,10
501,670,27,11
529,416,17,22
114,619,23,27
656,474,12,23
268,584,20,14
248,824,29,22
745,918,17,15
912,122,13,21
29,872,28,26
22,935,15,26
599,579,10,10
502,44,15,22
717,846,11,14
973,219,13,29
316,504,29,11
287,721,29,25
624,710,13,10
668,103,21,23
480,96,21,25
938,678,20,24
26,887,21,19
347,525,25,25
297,661,27,17
507,462,11,13
122,38,24,23
591,17,17,10
690,350,12,18
458,575,27,15
528,849,21,12
165,673,23,14
709,806,16,20
145,655,21,27
227,865,29,19
119,852,15,13
735,614,21,14
744,550,17,11
337,598,7,3
867,533,12,16
229,178,13,17
412,762,18,23
583,182,24,15
328,595,29,10
673,114,28,21
428,854,10,14
907,9,19,20
511,698,19,28
542,182,29,14
165,178,21,22
194,415,24,18
261,869,22,25
851,139,10,9
776,375,19,12
197,84,21,29
35,294,11,12
169,358,28,19
979,733,17,23
402,767,22,14
746,605,28,27
430,900,14,19
549,143,21,10
696,21,13,23
50,856,21,24
619,113,11,21
191,785,20,29
639,27,18,16
103,649,19,15
629,270,23,19
598,581,28,19
460,560,16,26
182,942,12,18
751,516,23,22
960,188,26,28
850,596,16,18
654,886,23,23
532,954,17,10
430,119,14,17
551,352,28,11
63,52,17,19
336,335,13,11
915,607,24,26
918,612,28,15
204,209,24,11
58,231,17,12
453,263,19,18
560,968,21,22
107,897,28,29
403,452,15,24
230,722,15,23
408,271,25,20
590,632,18,21
935,819,29,14
384,490,13,26
225,176,17,22
371,65,19,12
171,147,19,12
202,500,18,20
699,915,17,26
443,687,23,21
347,300,19,22
827,435,24,11
536,588,29,16
520,674,13,24
419,318,19,15
771,508,12,29
650,675,23,29
297,672,22,26
669,714,18,27
700,928,14,17
473,762,25,23
924,717,25,23
792,342,20,14
398,28,15,22
480,173,11,18
341,559,24,24
761,915,21,20
616,408,27,11
986,790,13,21
393,916,16,17
605,69,21,20
288,599,25,15
480,325,12,16
62,646,28,18
309,533,22,14
875,235,21,18
223,179,16,14
277,513,15,26
342,858,15,25
500,465,23,12
523,795,28,25
933,784,22,29
964,42,15,17
151,727,21,14
626,653,18,16
707,516,24,27
81,41,23,17
521,420,11,14
775,209,14,10
707,365,27,27
479,691,29,15
855,225,29,28
552,835,11,13
12,726,15,22
801,699,15,27
397,920,18,13
766,728,10,11
533,688,27,15
877,719,10,18
900,15,13,14
14,245,26,24
697,306,27,16
91,710,11,11
657,883,21,14
456,858,24,11
729,907,18,15
773,819,15,16
605,944,6,4
66,167,11,13
485,696,27,29
200,185,18,19
211,746,21,20
296,595,29,18
68,49,25,10
865,803,19,22
778,460,25,15
2,510,10,10
751,163,10,23
372,865,28,16
319,469,15,26
543,318,14,17
718,707,11,24
291,591,14,11
427,870,16,24
652,105,21,15
195,380,29,27
520,684,26,10
670,123,11,16
596,708,21,17
355,915,20,21
734,920,23,27
62,424,10,22
545,319,21,10
785,983,29,14
724,37,11,19
987,34,12,18
592,146,22,26
630,483,29,26
709,845,17,16
156,490,22,16
546,76,29,21
339,812,20,14
829,419,28,25
211,213,10,28
468,537,11,10
973,957,13,20
805,264,26,26
218,873,10,16
801,671,3,8
643,974,22,13
329,865,28,10
269,828,12,18
383,199,16,24
541,390,19,21
103,47,28,29
114,231,21,28
523,186,13,15
9,48,23,11
598,722,10,14
61,968,11,25
753,551,25,22
103,318,13,28
859,440,26,29
324,310,15,22
861,836,17,21
276,80,11,13
198,699,17,10
952,313,25,13
95,886,11,16
183,979,27,10
299,682,26,17
67,499,26,19
746,726,28,11
775,648,28,21
356,552,23,23
205,643,21,11
510,677,19,11
322,25,14,11
247,788,18,29
158,32,23,28
663,748,23,10
212,546,14,13
910,890,17,19
495,723,22,17
273,831,4,5
905,842,11,10
193,566,25,29
558,291,22,12
669,293,11,26
392,970,28,21
155,131,18,29
169,357,20,27
205,200,11,17
39,958,21,23
879,852,29,13
775,658,12,24
732,606,13,10
159,742,16,11
170,711,17,28
276,674,28,29
825,162,15,19
194,306,25,16
866,816,17,21
24,94,17,19
407,108,11,16
907,551,23,23
771,97,12,24
819,915,18,14
336,615,28,21
117,237,13,16
173,29,15,22
349,52,29,19
883,583,26,16
525,913,25,25
750,98,22,15
479,84,28,19
366,138,28,25
306,939,27,17
634,569,23,12
185,944,12,26
526,524,17,18
247,68,16,29
137,44,13,11
483,23,24,27
542,409,26,14
714,827,26,25
419,540,17,14
93,898,17,20
499,258,27,18
307,672,13,20
869,671,20,14
845,862,19,18
118,829,16,24
436,134,16,21
845,878,22,24
971,186,24,22
190,957,26,27
586,227,23,13
156,473,14,17
904,898,13,12
963,52,21,17
930,612,19,23
88,716,20,11
575,642,16,17
658,391,16,21
910,867,16,16
735,142,29,27
174,916,11,29
743,307,17,12
24,727,17,14
799,862,21,10
296,535,26,15
246,278,19,14
540,220,22,13
631,132,12,27
549,289,27,29
170,179,10,26
87,651,14,15
793,95,15,16
255,378,27,15
34,549,10,25
624,256,20,20
238,212,8,3
798,669,12,13
588,813,29,29
154,471,18,23
721,377,14,15
893,766,21,26
490,84,16,12
868,685,14,23
783,253,15,10
168,588,23,20
411,585,21,23
426,88,27,14
816,862,13,14
299,15,13,25
615,664,29,13
586,728,16,29
419,16,28,23
313,591,11,5
483,732,16,18
589,11,12,25
632,558,18,14
605,880,21,15
445,682,21,10
592,101,29,19
876,278,26,26
15,448,17,20
123,921,18,28
410,680,24,20
585,256,20,22
54,176,28,20
811,472,19,16
265,872,22,26
978,462,15,11
538,307,22,14
388,767,28,20
28,334,25,19
32,224,23,21
18,210,12,27
916,67,5,4
570,87,18,21
435,27,14,19
628,798,20,19
855,606,24,14
466,761,10,23
358,495,24,26
186,867,25,15
719,887,15,27
502,940,24,12
260,11,20,17
114,477,13,12
18,453,18,10
705,712,16,18
563,508,13,16
113,698,26,14
21,212,21,19
230,218,22,22
593,145,28,13
960,446,28,17
381,974,12,24
725,274,13,10
92,651,22,18
702,549,28,26
189,806,11,15
601,282,6,9
763,346,29,10
46,962,3,15
39,194,17,27
727,198,24,24
612,667,10,12
855,90,14,27
955,683,14,14
580,560,15,25
22,746,29,28
890,967,21,25
215,17,13,11
723,980,21,11
783,846,10,12
269,842,10,14
965,817,13,14
906,27,20,16
871,291,13,13
129,406,26,27
806,457,16,19
612,842,19,21
847,739,10,14
648,400,24,16
650,385,26,12
197,589,27,12
797,754,12,10
127,400,17,25
424,608,11,19
284,74,11,21
539,781,27,29
213,409,16,29
956,112,25,19
480,185,15,26
877,737,29,10
200,535,22,22
488,149,20,28
580,14,24,12
602,887,19,28
713,817,19,12
336,649,11,6
13,214,9,5
40,799,17,16
210,762,14,15
916,109,16,18
31,33,26,21
91,306,25,22
346,844,22,28
392,36,11,15
572,818,25,28
798,651,14,12
255,480,24,24
676,845,24,14
22,491,16,29
391,26,21,12
743,329,25,20
446,251,10,22
745,119,17,17
630,558,16,16
671,438,21,27
434,609,11,19
946,150,22,24
455,613,19,18
56,788,26,23
799,99,20,28
227,313,26,13
314,494,26,28
439,603,26,18
757,90,19,16
184,491,26,28
30,495,19,14
139,406,15,15
328,647,29,11
263,47,21,16
43,904,22,26
825,600,29,16
483,183,28,27
728,272,26,15
478,665,25,20
858,548,12,23
708,404,29,23
465,560,22,20
736,451,21,15
823,218,21,17
543,282,19,12
